,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
8599,2004-02-11,,FOSL,,,,,0.1139284420273652,0.2519973001641485,0.3926710904701399,0.4614449567587024
8576,2004-02-11,,MGRC,,,,,0.0016668192363463,0.0438840593212581,0.0723003697964034,0.5055289626904842
8553,2004-02-11,,GXP,,,,,0.0140098150524671,-0.1402511265114674,-0.1455244459652583,-0.0461223688211872
8530,2004-02-11,,LSTR,,,,,0.1455272959498363,0.2474526250703726,0.4535678986085891,1.0883357336597168
8507,2004-02-11,,BMS,,,,,-0.0064337179165265,0.0679536703271345,0.0400220923727879,0.205763711859093
1173,2004-02-11,GFJPVD-R,MATW,Producer Manufacturing,MERGED,0.59028977,10:01:54.396,-0.0278121890414816,-0.0597404187801492,0.0644375562757271,0.1369462793831766
8484,2004-02-11,,MGA,,,,,-0.0746142098208128,-0.0599115171173252,-0.0414940899414008,-0.0574203471758389
8461,2004-02-11,,AN,,,,,-0.0318127665966236,-0.0414165418189053,-0.0366146828294429,0.1800720304607929
8438,2004-02-11,,CACH,,,,,0.0563207839966741,-0.0106055656828551,-0.3541076750136263,-0.1660765106572931
8415,2004-02-11,,AVID,,,,,-0.0575148001225037,0.1287573639457747,0.0163313284428162,0.5853255232410318
8392,2004-02-11,,PENN,,,,,-0.0401788236268888,0.0409226405311794,0.3723955423712004,1.4806543266291474
8369,2004-02-11,,UVV,,,,,0.0317652756261919,-0.0121575859418124,-0.1183654584676281,0.0009651618755785
8898,2004-02-11,,DTE,,,,,0.0329141169665053,-0.0269975827387011,0.0260129611397005,0.1830587585322591
8346,2004-02-11,,ENB,,,,,0.049418191063769,-0.0181110983467713,0.0399566159089198,0.3774225958607746
8921,2004-02-11,,SITC,,,,,0.0411378414482233,-0.1124342697812633,0.043209329400067,0.2300911987822247
1081,2004-02-11,TP3XRS-R,KNX,Transportation,MERGED,0.67972883,10:01:54.393,-0.0510212587105931,-0.0522447355553389,0.2251017438795521,0.536209427616639
9450,2004-02-11,,DVA,,,,,0.0234741563323404,0.1338028589947507,-0.0077464547996313,0.5334506979586466
9427,2004-02-11,,FELE,,,,,-0.0092299244998743,0.0799405286313191,0.2533581741979828,0.3597293480324221
989,2004-02-11,GZFZSF-R,OSK,Producer Manufacturing,MERGED,0.70686524,10:01:54.393,-0.0658167400651032,-0.1153402534748058,-0.1319776280141124,0.3037710301058195
9404,2004-02-11,,ZD,,,,,-0.1942029338273401,-0.0434782418866331,-0.0455488526611441,0.5271220540458883
9381,2004-02-11,,ARE,,,,,-0.0822717357575767,-0.1836668322174013,-0.0520669274439706,0.1231811578696551
9358,2004-02-11,,RRC,,,,,0.085126267462133,0.0654816236818497,0.4212666363807736,1.239522435287761
9335,2004-02-11,,PNP,,,,,-0.0416692200003047,-0.0333353929284225,0.4166659613258827,0.7999964450824487
9312,2004-02-11,,CNI,,,,,-0.0902799785519694,-0.0845170826831197,0.0643195660380534,0.4929148162129799
1012,2004-02-11,J75B2X-R,BYD,Consumer Services,MERGED,0.68881629,10:01:54.393,0.0595119840547361,0.1097559049633764,0.2604337082619273,1.3867289369932063
9289,2004-02-11,,PEI,,,,,-0.0249081072981489,-0.1338972830094209,0.0094663873262535,0.2194048696964685
9266,2004-02-11,,DHR,,,,,-0.0664689695736962,-0.0508551414618885,0.036803216079675,0.1763922680446162
9243,2004-02-11,,PDCE,,,,,0.1663111806202526,0.0127930909908752,0.2089551221211595,0.8059698874093253
9220,2004-02-11,,PHM,,,,,0.1707839670686334,-0.0068224157824917,0.2009975363845063,0.506846740087366
9197,2004-02-11,,TGNA,,,,,-0.0274452291903431,-0.0110642943271084,-0.0606075487821218,-0.0561220240549157
1035,2004-02-11,XBZT6M-R,FCFS,Finance,MERGED,0.68692378,10:01:54.393,0.0614665797166183,-0.0335412758051193,-0.1070200571534985,0.2332294835270102
9174,2004-02-11,,GPC,,,,,-0.0115631243352599,0.0696176221110202,0.1181099706703782,0.3273710379291614
9151,2004-02-11,,ECL,,,,,-0.0064421832004842,0.0316058067595836,0.0871423795958846,0.1918577543865791
9128,2004-02-11,,TRI,,,,,-0.092495090340021,-0.0530770871653479,-0.0251623395108635,0.0353023910252857
9105,2004-02-11,,NHI,,,,,0.0091910596136473,-0.1496740543716374,0.0649716892751394,0.032925831641978
9082,2004-02-11,,MAN,,,,,-0.0654060765287544,0.0700779885395796,-0.1082547601803706,-0.0001569983754933
