,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
70,2004-03-31,XQCN4R-R,MUR,Energy Minerals,MERGED,0.66656688,10:02:00.822,0.0878196263930015,0.1739132484200041,0.3864424098805673,0.5859650885639248
71,2004-04-07,XQCN4R-R,MUR,Energy Minerals,MERGED,0.67413234,10:02:01.467,0.0473508190573309,0.22253787341348,0.3420181552657285,0.6129276188915195
72,2004-04-14,XQCN4R-R,MUR,Energy Minerals,MERGED,0.67461457,10:02:02.717,0.0470807422140537,0.2414658430016319,0.3026290371679228,0.4806767541982426
73,2004-04-21,XQCN4R-R,MUR,Energy Minerals,MERGED,0.67975493,10:02:03.400,0.0167142356393755,0.2365740304940092,0.3487403332490203,0.4792657814794706
74,2004-04-28,XQCN4R-R,MUR,Energy Minerals,MERGED,0.67234936,10:02:04.382,-0.0581877040924796,0.1011383085692357,0.148322922179835,0.3002876734574491
75,2004-05-05,XQCN4R-R,MUR,Energy Minerals,MERGED,0.65928369,10:02:05.087,-0.032398447408658,0.0586139439420178,0.1720779771621758,0.2889121308612702
76,2004-05-12,XQCN4R-R,MUR,Energy Minerals,MERGED,0.72085738,10:02:06.183,0.0168381314984956,0.0627867270033583,0.2231977908812007,0.3170493099192553
77,2004-05-19,XQCN4R-R,MUR,Energy Minerals,MERGED,0.71154497,10:02:07.096,0.097804046136018,0.1185977855547685,0.2676319123007836,0.4371558231002255
78,2004-05-26,XQCN4R-R,MUR,Energy Minerals,MERGED,0.71719488,10:02:08.387,0.0745220334040941,0.1061464681830532,0.3163314917859328,0.5086282496758332
79,2004-06-02,XQCN4R-R,MUR,Energy Minerals,MERGED,0.67176884,10:02:09.317,0.1297148816006405,0.1506187932348142,0.1834297933338212,0.4993352546414873
80,2004-06-09,XQCN4R-R,MUR,Energy Minerals,MERGED,0.68460792,10:02:10.130,0.1872525256872627,0.2361550528677156,0.2023221083493924,0.5838052985414167
81,2004-06-16,XQCN4R-R,MUR,Energy Minerals,MERGED,0.67983874,10:02:10.669,0.1108912188956165,0.1788022157376421,0.1420193129228664,0.5164526962840893
82,2004-06-23,XQCN4R-R,MUR,Energy Minerals,MERGED,0.68450842,10:02:11.486,0.0559921871181616,0.1609980436937268,0.1151767977078974,0.5028614948497273
83,2004-06-30,XQCN4R-R,MUR,Energy Minerals,MERGED,0.76814895,10:02:12.125,0.0493890661133463,0.1810433281561571,0.0996279151486317,0.4330485739522192
84,2004-07-07,XQCN4R-R,MUR,Energy Minerals,MERGED,0.76611999,10:02:12.876,-0.0648315975223586,0.0977313541368206,0.0079316165928512,0.4373910340459359
86,2004-03-24,,EXP,,,0.72298275,,0.1339130487033016,0.2865154586314364,0.2814127382487962,0.520570365014381
87,2004-03-31,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.68046944,10:02:00.822,0.1163976660891636,0.2119230474808751,0.2167013680361877,0.3970118410583884
88,2004-04-07,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.69574431,10:02:01.467,0.0510210664375511,0.1794625747457792,0.1859642097330646,0.4158877949223359
89,2004-04-14,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.70503312,10:02:02.717,0.0357557743464992,0.1624774043802708,0.1254326912769208,0.3577163537072954
90,2004-04-21,FZX1RR-R,EXP,Non-Energy Minerals,MERGED,0.71460642,10:02:03.399,0.0240883973121214,0.1369657741218614,0.1299567378854013,0.3344917930830699
